label,address,kind,belief,source_file,current_usage,validation_method,evidence,confidence,build_scope,revalidate_after_update,notes
"steam_zombies_process","t6zm","process_rule","Steam Zombies is identified by process name t6zm and is the only supported live-stat/event target.","Services/GameProcessDetector.cs","Game detection, connect gating, DLL injection eligibility.","Repo inventory plus local Steam install metadata.","Definition assigns PlayerStatAddressMap.SteamZombies only to t6zm; unsupported variants carry null maps.","confirmed","Not build-specific, but variant-specific.","Confirm executable name and command-line token rules if supporting non-Steam builds.","Other t6zm-like variants are intentionally unsupported."
"steam_build_65428","C:\Program Files (x86)\Steam\steamapps\common\Call of Duty Black Ops II\t6zm.exe","file","This pack describes the local Steam app 202970 buildid 65428 binary.","local Steam appmanifest_202970.acf","Build provenance for all absolute VAs.","Steam manifest, file metadata, hashes, Ghidra import.","MD5 68C62BE753DE8ADF2C2C7B28DB769B99; SHA256 3645528D61EF0FB0591D5195E111718235EF3C75F2211BD3633A2DB4DE7C67AC; size 13096504 bytes.","confirmed","Current local Steam build only.","Recompute file hash and rerun Ghidra on any game update.","LastWriteTime observed 2026-04-12 15:17:35 local."
"image_base","0x00400000","pe_metadata","Static analysis image base for absolute addresses.","artifacts/reverse/ghidra/bo2-ghidra-recon.txt","Address normalization and binary provenance.","Ghidra PE import.","Ghidra reports imageBase=00400000, x86:LE:32:default, compiler windows.","confirmed","Current binary metadata.","Reimport if PE headers change.","All address rows are virtual addresses in this image."
"local_vm_notify_entry","0x008F31D0","code","Local Steam Zombies vm_notify implementation and production hook target.","BO2Monitor/Hook.cpp; artifacts/reverse/function-catalog.csv","Hook target when BO2MONITOR_ENABLE_VM_NOTIFY_HOOK is active.","Static Ghidra function entry plus runtime prologue guard in native code.","Function FUN_008f31d0 starts with 55 8B EC 83 E4 F8 83 EC 44; Ghidra callers from 0x006787f9, self at 0x008f3220, and 0x008f5d04.","strong_candidate","Current Steam build only.","Check executable block, first 9 bytes, and caller shape after update.","No live MinHook install was performed in this run."
"public_vm_notify_candidate","0x008F3620","rejected_code_candidate","Public T6 address is wrong for this Steam build.","BO2Monitor/Hook.cpp; artifacts/reverse/function-catalog.csv","Published as NotifyCandidateRejected discovery evidence.","Ghidra exact-instruction check and repo comment.","Address is inside FUN_008f31d0; instruction containing it starts at 0x008F361F as CALL 0x0067c1b0, so 0x008F3620 is in the call immediate bytes.","rejected","Current Steam build only.","Recheck exact instruction if comparing against another T6 build.","Do not hook this address."
"sl_get_string_of_size","0x00418B40","code","Script string resolver/interner used to convert notify names into runtime string IDs.","BO2Monitor/Hook.cpp; artifacts/reverse/function-catalog.csv","Native monitor calls it for target notify names after prologue validation.","Ghidra function entry, first bytes, callers, native prologue guard.","First bytes are 83 EC 0C 8B 54 24 10; Ghidra shows many callers and callees; native signature is __cdecl(const char*, int, uint, int) -> uint.","strong_candidate","Current Steam build only.","Check prologue and basic decompile before calling after update.","Runtime code calls with type 6 and length strlen(name)+1."
"script_string_data_pointer","0x02BF83A4","data_pointer","Pointer to the script string table base.","BO2Monitor/Hook.cpp; artifacts/reverse/globals-catalog.csv","Weapon alias decoding and runtime field tools.","Static xrefs plus native readable-address guard.","Ghidra reports data block xrefs from SL/string helpers; native code dereferences pointer, then index * 0x18 + 0x04.","strong_candidate","Current Steam build only.","Confirm pointer is readable and points to valid printable string table.","The Ghidra static image contains zero because this pointer is initialized at runtime."
"script_string_entry_stride","0x18","structure_stride","Script string table entry size.","BO2Monitor/Hook.cpp; tools/Find-BO2BoxWeaponByGhidraLayout.ps1","String decoding by native monitor and runtime tools.","Repo static layout and Ghidra-derived companion tool.","Native code computes base + stringId * 0x18 + 0x04.","strong_candidate","Current Steam build only.","Validate with runtime table reads if string resolution changes.","Pairs with max string count 0x40000 in native code."
"script_string_text_offset","0x04","structure_offset","Printable string text offset inside each script string entry.","BO2Monitor/Hook.cpp; tools/Find-BO2BoxWeaponByGhidraLayout.ps1","Weapon alias decoding.","Repo static layout and runtime scanner assumptions.","CopyScriptStringValue rejects non-printable ASCII and empty strings.","strong_candidate","Current Steam build only.","Validate by resolving known strings such as weapon_string and zbarrier.",""
"child_bucket_pointer_slot_base","0x02DEFB00","data_pointer_slot","Per-instance child-variable hash bucket table pointer slot base.","tools/Find-BO2BoxWeaponByGhidraLayout.ps1; artifacts/reverse/globals-catalog.csv","Runtime field lookup tooling, not production alias scan.","Ghidra xrefs and Ghidra-derived script field lookup tool.","Slot = base + inst * 0x200; hash = ((parentId * 0x65) + nameId) & 0x1ffff.","strong_candidate","Current Steam build only.","Confirm bucket slots are readable and populated for inst 0/1.","Production code currently avoids exact field-name lookup."
"child_variables_pointer_slot_base","0x02DEFB80","data_pointer_slot","Per-instance child-variable array pointer slot base.","BO2Monitor/Hook.cpp; artifacts/reverse/globals-catalog.csv","Production weapon alias scan and runtime tools.","Ghidra xrefs, native code, static_assert on child entry size.","Slot = base + inst * 0x200; child entry address = childBase + childId * 0x1c.","strong_candidate","Current Steam build only.","Confirm slot readability and table lifetime after game update.","Production scans all child entries for owner-matching string/istring values."
"child_variable_stride","0x1C","structure_stride","Size of ChildVariableValue entry.","BO2Monitor/Hook.cpp; tools/Find-BO2BoxWeaponByGhidraLayout.ps1","Production alias scan and runtime field tools.","Native static_assert and tool comments.","Entry fields: value +0x00, sibling/hash +0x04, next +0x08, type +0x0C, nameLo +0x0D, flags +0x0E, key +0x10, nextSibling +0x14, prevSibling +0x18.","confirmed","Current Steam build only.","Revalidate against Ghidra decompile and live table scans.","Type mask 0x7F is used when checking ScriptString=2 and ScriptIString=3."
"child_variable_key","0x10","structure_offset","Child variable key packs parent id and high name bits.","BO2Monitor/Hook.cpp; tools/Find-BO2BoxWeaponByGhidraLayout.ps1","Production owner matching and tool field lookup.","Native struct and Ghidra-derived tool.","Key = (parentId << 16) | (nameId >> 8); production compares Key.ParentId to ownerId.","strong_candidate","Current Steam build only.","Revalidate with known owner IDs and string fields.","NameLo exists at +0x0D but production alias scan does not need it."
"scr_find_variable","0x006BFB30","code","Script VM helper that finds a child variable by instance, parent, and name.","tools/ghidra/BO2ScriptRecon.java; artifacts/reverse/function-catalog.csv","Static understanding; called by vm_notify and field tools.","Ghidra function catalog and vm_notify decompile.","First bytes include multiply by 0x65; function has many callers including vm_notify at 0x008f324e and 0x008f326c.","strong_candidate","Current Steam build only.","Check entry bytes and vm_notify callsites after update.","Signature inferred as int inst, uint parentId, uint nameId."
"scr_get_variable_value","0x00485950","code","Script VM helper that reads the value/object id for a variable id.","tools/ghidra/BO2ScriptRecon.java; artifacts/reverse/function-catalog.csv","Static understanding of vm_notify and object flow.","Ghidra function catalog and vm_notify callsites.","Called by vm_notify at 0x008f3260, 0x008f327e, and 0x008f3304 after variable lookup.","strong_candidate","Current Steam build only.","Confirm parameter order if using from injected code.",""
